host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h7,594.615,0.0,115,4,10000000,47063.05957446808,10368544,691275,28.484497,0.978938,16.764959,67209812,65798144,1411668,2.1003897466637755,3,h10
h8,293.217,0.0,80,3,10000000,60418.98884758364,15525296,727412,26.010035,0.966425,14.739901,67209812,62652416,4557396,6.780849201006543,3,h10
h9,229.872,0.0,53,2,10000000,77763.49174917492,22792260,770078,25.901934,0.96579,14.658412,67209812,60293120,6916692,10.29119379176362,3,h10
h11,239.654,0.0,57,2,10000000,97590.43786982248,32164316,821252,21.373578,0.944175,12.531718,67209812,59244544,7965268,11.851346943211208,3,h10
h12,238.068,0.0,50,2,10000000,111695.5,40690988,859738,25.857923,0.967797,14.921017,67209812,62914560,4295252,6.390810913144645,3,h14
h13,232.843,0.0,52,2,10000000,120396.2118226601,47960772,920090,25.883163,0.964901,14.547105,67209812,60293120,6916692,10.29119379176362,3,h14
h1,282.745,0.0,76,3,10000000,132522.8681818182,57320062,990000,21.260682,0.942761,12.423097,67209812,59244544,7965268,11.851346943211208,3,h14
h3,254.213,0.0,154,4,10000000,30903.711340206184,5112,2992548,38.139996,0.997139,25.434198,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,334.496,0.0,531,6,10000000,28478.036363636365,4804,3127780,38.19714,0.997512,26.042209,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,384.506,0.0,109,4,10000000,28727.01388888889,997942,3138748,35.716068,0.993802,22.077227,67209812,67108864,100948,0.1501983073542893,3,h10
h6,321.67,0.0,100,3,10000000,40520.58426966292,4059652,3153012,26.237832,0.9758,16.161907,67209812,66060288,1149524,1.7103514588018789,3,h10
h7,549.798,0.0,77,3,10000000,48763.35849056604,7275008,3062824,32.985829,0.990865,20.392848,67209812,67108864,100948,0.1501983073542893,3,h14
h8,397.025,0.0,54,2,10000000,61164.69105691057,10358172,4688342,29.919857,0.982033,17.455296,67209812,66060288,1149524,1.7103514588018789,3,h14
h9,311.917,0.0,74,3,10000000,83867.8892857143,15525604,7957405,26.204253,0.971096,15.39046,67209812,62914560,4295252,6.390810913144645,3,h14
h11,174.736,0.0,28,1,10000000,113179.1492063492,22737084,12914348,26.133843,0.967701,14.908088,67209812,60555264,6654548,9.90115550390172,3,h14
h12,224.803,0.0,55,2,10000000,148018.4183381089,32128114,19530314,21.294433,0.943628,12.48936,67209812,59506688,7703124,11.461308655349312,3,h14
h13,232.95,0.0,69,2,10000000,179605.49869451698,40690442,28098464,26.258138,0.970293,15.271469,67209812,62914560,4295252,6.390810913144645,3,h10
h1,404.495,0.0,155,5,10000000,206635.31894484413,47890988,38275940,26.02185,0.9678,14.921462,67209812,60555264,6654548,9.90115550390172,3,h10
