host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h9,206.523,0.0,53,2,10000000,14.517462,0.588488,3.856178,67209812,28049408,39160404,58.26590319877699,1,h10,2
h11,241.22,0.0,42,2,10000000,14.299471,0.572714,3.692813,67209812,26738688,40471124,60.21609463808647,1,h10,2
h12,299.151,0.0,58,3,10000000,13.465274,0.567944,3.644602,67209812,25165824,42043988,62.55632436525785,1,h10,2
h13,414.63,0.0,52,2,10000000,13.528792,0.570011,3.66543,67209812,23592960,43616852,64.89655409242924,1,h10,2
h6,318.256,0.0,75,4,10000000,13.789826,0.597139,3.94845,67209812,22544384,44665428,66.45670724387683,1,h10,2
h22,1214.57,0.0,69,4,10000000,22.945118,0.946079,12.68245,67209812,66584576,625236,0.930274883078084,1,h10,3
h23,1099.888,0.0,88,5,10000000,18.952797,0.864406,8.677603,67209812,63438848,3770964,5.610734337420851,1,h10,2
h1,1421.835,0.0,73,4,10000000,18.015681,0.805981,7.121553,67209812,58458112,8751700,13.0214618067969,1,h10,2
h2,1399.953,0.0,69,4,10000000,16.217956,0.742249,5.887992,67209812,51642368,15567444,23.16245729120623,1,h10,2
h3,1312.65,0.0,88,5,10000000,14.92752,0.686903,5.043206,67209812,45875200,21334612,31.74329962416797,1,h10,2
h4,392.108,0.0,48,3,10000000,14.529069,0.654977,4.621525,67209812,41943040,25266772,37.59387394209643,1,h10,2
h5,328.148,0.0,73,4,10000000,15.041799,0.645133,4.499339,67209812,38797312,28412500,42.2743333964392,1,h10,2
h7,311.399,0.0,75,4,10000000,14.335671,0.617577,4.174565,67209812,35913728,31296084,46.56475456292007,1,h10,2
h8,260.45,0.0,51,3,10000000,14.562161,0.614871,4.143943,67209812,33292288,33917524,50.46513744153904,1,h10,2
h9,206.797,0.0,34,2,10000000,14.055895,0.61696,4.167554,67209812,30670848,36538964,54.36552032015801,1,h10,2
h11,223.187,0.0,35,2,10000000,14.218924,0.61798,4.17914,67209812,28835840,38373972,57.0957883351913,1,h10,2
h12,260.254,0.0,48,3,10000000,13.938625,0.601972,4.000861,67209812,27262976,39946836,59.436018062362685,1,h10,2
h13,211.515,0.0,47,2,10000000,13.86322,0.599031,3.968895,67209812,25427968,41781844,62.16628607739596,1,h10,2
h21,371.379,0.0,73,4,10000000,14.023276,0.604321,4.026565,67209812,23855104,43354708,64.50651580456734,1,h10,2
h6,420.215,0.0,64,4,10000000,13.820321,0.599126,3.969926,67209812,22806528,44403284,66.06666895601492,1,h10,2
h23,1263.993,0.0,69,5,10000000,26.594279,0.959817,13.959559,67209812,66322432,887380,1.3203131709399811,1,h10,4
h1,1128.579,0.0,60,4,10000000,21.159494,0.883429,9.334094,67209812,63438848,3770964,5.610734337420851,1,h10,3
h2,1453.42,0.0,46,4,10000000,17.877188,0.755345,6.11445,67209812,58458112,8751700,13.0214618067969,1,h10,2
h3,1511.161,0.0,75,5,10000000,16.392647,0.731082,5.703804,67209812,50855936,16353876,24.33257215479192,1,h10,2
h4,1348.167,0.0,44,3,10000000,14.976729,0.686377,5.035925,67209812,45088768,22121044,32.91341448775366,1,h10,2
h5,476.997,0.0,68,4,10000000,14.96004,0.652129,4.585818,67209812,41156608,26053204,38.76398880568212,1,h10,2
h7,314.63,0.0,46,4,10000000,14.854273,0.633883,4.3638,67209812,38273024,28936788,43.05440997216299,1,h10,2
h8,293.687,0.0,27,3,10000000,14.750177,0.625711,4.267926,67209812,35127296,32082516,47.73486942650576,1,h10,2
h9,229.968,0.0,19,2,10000000,14.048017,0.611911,4.110685,67209812,33030144,34179668,50.85517572940093,1,h10,2
h11,210.961,0.0,11,2,10000000,14.259459,0.603,4.012096,67209812,30146560,37063252,55.14559689588181,1,h10,2
h12,259.385,0.0,26,3,10000000,13.870149,0.596897,3.945842,67209812,28049408,39160404,58.26590319877699,1,h10,2
h13,216.851,0.0,18,2,10000000,13.919825,0.594957,3.924988,67209812,26738688,40471124,60.21609463808647,1,h10,2
h21,393.082,0.0,60,4,10000000,13.871314,0.597088,3.947897,67209812,24903680,42306132,62.94636265311976,1,h10,2
h22,384.552,0.0,46,4,10000000,14.034205,0.601221,3.992679,67209812,23592960,43616852,64.89655409242924,1,h10,2
h6,412.656,0.0,55,4,10000000,14.047676,0.603885,4.021792,67209812,22282240,44927572,66.84674553173873,1,h10,2
h1,1279.698,0.0,60,5,10000000,26.352382,0.960354,14.018001,67209812,66846720,363092,0.5402365952161866,1,h10,4
h2,1286.14,0.0,69,5,10000000,21.686615,0.904409,10.195834,67209812,64225280,2984532,4.440619473835159,1,h10,3
h3,1386.163,0.0,56,4,10000000,18.233687,0.820689,7.46392,67209812,59768832,7440980,11.071270367487411,1,h10,2
h4,1315.386,0.0,68,3,10000000,16.579527,0.756834,6.140974,67209812,52428800,14781012,21.99234242762054,1,h10,2
h5,1353.073,0.0,65,4,10000000,12.324563,0.635587,4.384055,67209812,118884432,-51674620,-76.88552974973356,1,h10,2
h7,610.045,0.0,96,5,10000000,14.393677,0.655886,4.632982,67209812,41943040,25266772,37.59387394209643,1,h10,2
h8,389.988,0.0,100,6,10000000,14.072706,0.635875,4.387493,67209812,38535168,28674644,42.664371684301095,1,h10,2
h9,204.919,0.0,44,2,10000000,13.68373,0.587108,3.84164,67209812,35913728,31296084,46.56475456292007,1,h10,2
